,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,video_id,trending_date,title,channel_title,category_id,publish_time,tags,views,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,video_error_or_removed
1,Ro6eob0LrCY,17.14.11,Malika LePen : Femme de Gauche - Trailer,Le Raptor Dissident,24,2017-11-13T17:32:55.000Z,"Raptor""|""Dissident""|""Expliquez""|""moi""|""cette""|""merde",212702,29282,1108,3817,https://i.ytimg.com/vi/Ro6eob0LrCY/default.jpg,False,False,False
2,Yo84eqYwP98,17.14.11,"LA PIRE PARTIE ft Le Rire Jaune, Pierre Croce, Fabien Olicard, Nad Rich' Hard, Max Bird, Studio Vrac",Le Labo,24,2017-11-12T15:00:02.000Z,[none],432721,14053,576,1161,https://i.ytimg.com/vi/Yo84eqYwP98/default.jpg,False,False,False
3,ceqntSXE-10,17.14.11,DESSINS ANIMÉS FRANÇAIS VS RUSSES 2 - Daniil le Russe,Daniil le Russe,23,2017-11-13T17:00:38.000Z,"cartoon""|""pokémon""|""école""|""ours""|""мультфильм",482153,76203,477,9580,https://i.ytimg.com/vi/ceqntSXE-10/default.jpg,False,False,False
4,WuTFI5qftCE,17.14.11,PAPY GRENIER - METAL GEAR SOLID,Joueur Du Grenier,20,2017-11-12T17:00:02.000Z,"Papy grenier""|""Metal Gear Solid""|""PS1""|""Tirage d'oreille""|""Humour""|""retro Gaming""|""Joueur du Grenier""|""JDG",925222,85016,550,4303,https://i.ytimg.com/vi/WuTFI5qftCE/default.jpg,False,False,False
5,ee6OFs8TdEg,17.14.11,QUI SAUTERA LE PLUS HAUT ? (VÉLO SKATE ROLLER TROTTINETTE),Aurelien Fontenoy,17,2017-11-13T16:30:03.000Z,"vélo""|""vtt""|""bmx""|""freestyle""|""bike""|""mtb""|""dirt""|""trottinette""|""scoot""|""scooter""|""skate""|""roller""|""trampoline""|""trampoline parc""|""trampoline park""|""big air""|""air bag""|""mousse""|""bac à mousse""|""saut""|""tricks""|""défi""|""challenge""|""saut en hauteur",141695,8091,72,481,https://i.ytimg.com/vi/ee6OFs8TdEg/default.jpg,False,False,False
6,teXaL6GdQRk,17.14.11,STRANGER JOKES : Jokes de Papa avec les teens de Stranger Things,"Le Jeu, C'est Sérieux",23,2017-11-13T15:48:57.000Z,"Stranger Jokes""|""Jokes de Papa""|""Stranger Things""|""Charlie Heaton""|""Natalia Dyer""|""Joe Keery""|""Drôle""|""Humour""|""Blagues nulles""|""Dad Jokes""|""Netflix""|""Demogorgon""|""Onze""|""Eleven""|""Will""|""Joyce""|""Jonathan""|""Nancy""|""Steve""|""Paris Games Week""|""Try Not To Laugh""|""Try Not To Cringe""|""Essaye de ne pas rire""|""JeuSerieux""|""France""|""Québec",141253,14354,202,417,https://i.ytimg.com/vi/teXaL6GdQRk/default.jpg,False,False,False
7,nduL7G_gJoY,17.14.11,De retour dans le Manoir hanté avec le Grand JD !!,silent jill,24,2017-11-12T19:00:08.000Z,"fantome""|""esprits""|""spiritisme""|""hanté""|""ouija""|""maison""|""urbex""|""abandonné""|""hurlement""|""cris""|""pleurs""|""sinistre""|""horreur""|""thriller""|""grandjd""|""grand""|""jd""|""exploration""|""manoir""|""halloween",187654,9286,1381,2419,https://i.ytimg.com/vi/nduL7G_gJoY/default.jpg,False,False,False
8,QmpWE_SODZA,17.14.11,"T'es qui toi ? Squeezie, le youtubeur aux 4 milliards de vues - Salut les Terriens",Salut les terriens !,24,2017-11-13T17:30:01.000Z,"salut les terriens""|""squeezie""|""jeux videos""|""interview""|""ardisson""|""baffie""|""cordula""|""c8",91051,1674,1903,701,https://i.ytimg.com/vi/QmpWE_SODZA/default.jpg,False,False,False
9,GBVxEpQr8R8,17.14.11,ON VOUS DÉVOILE NOTRE VRAI SALAIRE,Mcfly & Carlito,24,2017-11-12T08:59:25.000Z,"mcfly""|""carlito""|""golden moustache""|""fatshow""|""badass""|""dab""|""j'effectue le dab""|""on appelle des gens au hasard""|""le meilleur jeu en voiture""|""mcfly et carlito""|""mcfly & carlito""|""concours d'anecdotes",2340941,200598,6018,7575,https://i.ytimg.com/vi/GBVxEpQr8R8/default.jpg,False,False,False
10,0RFhWyM6qbA,17.14.11,Benzema balance ses dur vérités Deschamps et Les bleus Dans le CFC !,HALIRIPA,22,2017-11-12T20:16:45.000Z,"Karim benzema football""|""Benzema vs cristiano ronaldo skills football""|""Benzema vs Messi club football",635236,5945,722,1483,https://i.ytimg.com/vi/0RFhWyM6qbA/default.jpg,False,False,False
11,LhjhGOBIoHM,17.14.11,Jérémy Ferrari - On n'est pas couché 11 novembre 2017 #ONPC,On n'est pas couché,24,2017-11-12T00:53:02.000Z,"onpc""|""on n'est pas couche""|""laurent ruquier""|""yann moix""|""christine angot""|""11 novembre 2017""|""jeremy ferrari""|""humour""|""humour noir""|""spectacle",294065,0,0,0,https://i.ytimg.com/vi/LhjhGOBIoHM/default.jpg,True,True,False
12,lnFaRuWOLN0,17.14.11,"Emilie, 10 ans, Coach De Vie",Lolywood,23,2017-11-12T15:00:03.000Z,"Chope squad""|""manu""|""Le dernier niveau""|""Le Coup de Foudre""|""jaloux""|""élection de délégués""|""enfant""|""drague""|""amour""|""looser",1504950,108635,1562,2913,https://i.ytimg.com/vi/lnFaRuWOLN0/default.jpg,False,False,False
13,LGbUBietbJc,17.14.11,J'ABANDONNE UNE PETITE FILLE DEVANT DES INCONNUS (Social Experiment),RAZMO,24,2017-11-12T18:00:01.000Z,[none],335121,23410,2034,3004,https://i.ytimg.com/vi/LGbUBietbJc/default.jpg,False,False,False
14,JfanclGyrZY,17.14.11,L'incroyable Joyau de François 1er,Nota Bene,27,2017-11-13T11:00:23.000Z,"Nota Bene""|""françois 1er""|""histoire""|""livre d'heure""|""exposition""|""musée louvre""|""louvre""|""joconde""|""leonard de vinci""|""raphaël""|""peinture""|""renaissance""|""jean clouet""|""pierre mangot""|""tousmecenes",53248,5164,43,234,https://i.ytimg.com/vi/JfanclGyrZY/default.jpg,False,False,False
